Name,Address,City,State,Zip,Discount,Discount_Detail,Link,Latitude,Longitude,Precision,Category1,Category2,Category3,Category4,
Erawan Bangkok Thai Cuisine,12506 Lake City Way,Seattle,WA,98125,2-for-1 Lunch or Dinner,UP TO $8.00 VALUE,http://seattle.entertainment.com/discount/Erawan_Bangkok_Thai_Cuisine/coupon/00317104003RED01376291EPC00497999PRD00000001.html,47.719442,-122.294839,address,Dining,Asian,,,
Thai Palms,6715 Martin Luther King Jr. Way S.,Seattle,WA,98118,2-for-1 Lunch or Dinner,UP TO $10.00 VALUE,http://seattle.entertainment.com/discount/Thai_Palms/coupon/00314772003RED01262669EPC00496999PRD00000001.html,47.54222,-122.284056,address,Dining,Asian,,,
T Station Cafe,13242 Aurora Ave. N.,Seattle,WA,98133,10% Off Discount,10% OFF,http://seattle.entertainment.com/discount/T_Station_Cafe/coupon/00317315003RED01377289EPC00497999PRD00000056.html,47.724981,-122.344835,address,Dining,Asian,,,
Hanuman Thai Cafe,115 Central Way,Kirkland,WA,98033,2-for-1 Lunch or Dinner,UP TO $8.00 VALUE,http://seattle.entertainment.com/discount/Hanuman_Thai_Cafe/coupon/00310709003RED00933426EPC00496999PRD00000001.html,47.676411,-122.207356,address,Dining,Asian,,,
Pho 99,9828 15th Ave. S.W.; Building B,Seattle,WA,98106,50% Off Total Bill,UP TO $6.00 VALUE,http://seattle.entertainment.com/discount/Pho_99/coupon/00305404003RED00784776EPC00497999PRD00000001.html,47.514924,-122.353765,address,Dining,Asian,,,
Great China Restaurant,13501 100th Ave. N.E.,Kirkland,WA,98034,2-for-1 Discount,UP TO $10.00 VALUE,http://seattle.entertainment.com/discount/Great_China_Restaurant/coupon/00315183003RED01274914EPC00497999PRD00000001.html,47.721503,-122.207878,address,Dining,Asian,,,
Thai Bistro,18336 Aurora Ave. N.,Shoreline,WA,98133,2-for-1 Lunch,UP TO $10.00 VALUE,http://seattle.entertainment.com/discount/Thai_Bistro/coupon/00312062003RED00995449EPC00496999PRD00000001.html,47.761728,-122.346021,address,Dining,Asian,,,
Ken Zaburo Sushi Bar & Asian Grill,12413 N.E. 124th St.,Kirkland,WA,98034,2-for-1 Lunch or Dinner,UP TO $15.00 VALUE,http://seattle.entertainment.com/discount/Ken_Zaburo_Sushi_Bar__Asian_Grill/coupon/00311342003RED00861739EPC00499999PRD00000001.html,47.708722,-122.175571,address,Dining,Asian,,,
Fortune Inn,6825 N.E. 170th,Kenmore,WA,98028,Special Value,UP TO $9.00 VALUE,http://seattle.entertainment.com/discount/Fortune_Inn/coupon/00300317003RED00331660EPC00496999PRD00000001.html,47.75145,-122.249375,address,Dining,Asian,,,
Iyara Thai Cuisine,16421 Cleveland St.,Redmond,WA,98059,20% Off Total Bill,UP TO $25.00 VALUE,http://seattle.entertainment.com/discount/Iyara_Thai_Cuisine/coupon/00313599003RED01173640EPC00497999PRD00000056.html,47.672728,-122.121144,address,Dining,Asian,,,
Jade Dragon Cuisine,17181 Redmond Way,Redmond,WA,98052,2-for-1 Lunch or Dinner,UP TO $10.00 VALUE,http://seattle.entertainment.com/discount/Jade_Dragon_Cuisine/coupon/00310654003RED00661575EPC00496999PRD00000001.html,47.670852,-122.111698,address,Dining,Asian,,,
Chang's Mongolian Grill,505 Rainier Ave. N.,Renton,WA,98057,Special Offer,25% OFF,http://seattle.entertainment.com/discount/Changs_Mongolian_Grill/coupon/00315554003RED01287227EPC00497999PRD00000001.html,47.48999,-122.218071,address,Dining,Asian,,,
Mai Place Asian Fusion Bistro,3152 NE Sunset Blvd,Renton,WA,98056,2-for-1 Lunch or Dinner,UP TO $10.00 VALUE,http://seattle.entertainment.com/discount/Mai_Place_Asian_Fusion_Bistro/coupon/00317030003RED01346019EPC00497999PRD00000001.html,47.504232,-122.176578,address,Dining,Asian,,,
